epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.9302,1.26026,3.34894,1.6215,0.30385,0.53279,0.36498,0.22105,1.32912,2.67725,1.88104,0.000207207,0.000207207,0.000207207
2,130.235,1.233,2.45892,1.56292,0.42611,0.56097,0.49842,0.30901,1.27593,2.00295,1.8925,0.000411427,0.000411427,0.000411427
3,191.431,1.23557,2.22149,1.55056,0.55583,0.55988,0.57733,0.35088,1.3195,1.92888,1.8747,0.000611521,0.000611521,0.000611521
4,252.935,1.20229,1.9745,1.51202,0.56655,0.58116,0.603,0.37084,1.27501,1.71068,1.75628,0.000606437,0.000606437,0.000606437
5,315.617,1.18269,1.87952,1.49102,0.62082,0.6084,0.65937,0.43057,1.20161,1.57633,1.73318,0.00060025,0.00060025,0.00060025
6,377.273,1.15645,1.72586,1.45996,0.70425,0.61896,0.7259,0.48495,1.19451,1.44442,1.69589,0.000594062,0.000594062,0.000594062
7,438.971,1.14686,1.64563,1.45277,0.72161,0.65947,0.75236,0.49998,1.20446,1.31611,1.70345,0.000587875,0.000587875,0.000587875
8,501.139,1.11501,1.54689,1.42448,0.82427,0.72217,0.81279,0.56207,1.09067,1.17083,1.55599,0.000581687,0.000581687,0.000581687
9,562.343,1.0986,1.48311,1.41507,0.79368,0.73007,0.8233,0.56814,1.10536,1.06317,1.58271,0.0005755,0.0005755,0.0005755
10,623.653,1.08419,1.39907,1.40223,0.78206,0.7262,0.80419,0.55758,1.07934,1.13009,1.55357,0.000569313,0.000569313,0.000569313
11,684.679,1.08067,1.3952,1.40219,0.79714,0.75731,0.82216,0.56274,1.12392,1.0836,1.59807,0.000563125,0.000563125,0.000563125
12,747.015,1.05005,1.31625,1.37207,0.81776,0.77753,0.85587,0.60572,1.03408,0.99007,1.49519,0.000556938,0.000556938,0.000556938
13,807.841,1.05572,1.28605,1.37258,0.81393,0.81795,0.86147,0.62736,1.00693,0.89794,1.4654,0.00055075,0.00055075,0.00055075
14,868.795,1.03554,1.24637,1.36614,0.81764,0.77905,0.85199,0.61727,1.05932,0.96987,1.51263,0.000544563,0.000544563,0.000544563
15,931.265,1.02665,1.22719,1.36035,0.83288,0.79789,0.87704,0.63912,0.96344,0.86383,1.44535,0.000538375,0.000538375,0.000538375
16,991.948,1.01017,1.209,1.34577,0.81255,0.8378,0.88904,0.65339,0.9611,0.8601,1.45127,0.000532187,0.000532187,0.000532187
17,1052.41,0.98873,1.16593,1.33112,0.85762,0.84198,0.90713,0.67112,0.94871,0.79221,1.42728,0.000526,0.000526,0.000526
18,1114.35,0.98543,1.14764,1.32318,0.86358,0.7985,0.88852,0.65837,0.99491,0.83747,1.48409,0.000519812,0.000519812,0.000519812
